"nsimul","eta","rho_type","ARI_true_bind","ARI_true_vi","ARI_true_p05","ARI_true_argmax","ARI_exp_bind","ARI_exp_vi","ARI_exp_p05","ARI_exp_argmax","threshold","TP","FP","FN","TN","SHD","STD_SHD","F1","Sensitivity","Specificity","F1_within","F1_between","Wasserstein","Frobenius","Relative_Frobenius"
7,"0.75","rho0_SM",0.695109780439122,0.745048665924168,0.657222023596711,0.664070107108082,0.742863564846033,0.853085545992101,0.893499365092369,0.568113450795015,0.797,142,15,144,479,159,0.203846153846154,0.641083521444695,0.496503496503497,0.969635627530364,0.701986754966887,0.60958904109589,0.349747755781494,50.1250148105662,0.256224047984139
7,"0.9","rho0_1",0.899620359050254,0.729981378026071,1,0.836233539371137,0.899620359050254,0.729981378026071,1,0.836233539371137,0.815,139,7,147,487,154,0.197435897435897,0.643518518518518,0.486013986013986,0.98582995951417,0.710526315789474,0.607142857142857,0.349158884663453,51.5684360190285,0.263602384456977
7,"0.9","rho0_shift",0.70014040248713,0.430215218442689,0.738955823293173,0.691046425939573,0.73241639009446,0.559265243811771,0.80351744984886,0.577973645169736,0.825,132,13,154,481,167,0.214102564102564,0.612529002320186,0.461538461538462,0.973684210526316,0.648275862068965,0.594405594405594,0.35146829984679,54.0213618012697,0.276141005656507
7,"0.9","rho0_SM",0.806229440789474,0.745048665924168,0.577760114022585,0.673160011918951,0.700502234714095,0.853085545992101,1,0.576456650157142,0.81,153,23,133,471,156,0.2,0.662337662337662,0.534965034965035,0.953441295546559,0.751592356687898,0.616393442622951,0.352522330411951,51.2559178927364,0.262004885489853
8,"CSDA","None",NA,NA,NA,NA,NA,NA,NA,NA,0.364,61,1,225,493,226,0.28974358974359,0.350574712643678,0.213286713286713,0.997975708502024,0.380165289256198,0.334801762114537,0.598936314673018,89.8501762766097,0.466879963213334
8,"0","rho0_1",0.416823751178134,0.416823751178134,0.416823751178134,0.544991727122311,0.416823751178134,0.416823751178134,0.416823751178134,0.544991727122311,0.82,137,43,149,451,192,0.246153846153846,0.587982832618026,0.479020979020979,0.912955465587045,0.743589743589744,0.509677419354839,0.420328486628381,58.7748683356964,0.305406283032325
8,"0.5","rho0_1",0.769048559020924,0.609378556794901,0.68392357188467,0.781037659795002,0.769048559020924,0.609378556794901,0.68392357188467,0.781037659795002,0.831,132,28,154,466,182,0.233333333333333,0.591928251121076,0.461538461538462,0.94331983805668,0.759493670886076,0.5,0.422937362663554,56.4354864158215,0.293250374274497
8,"0.5","rho0_shift",0.616102474943751,0.463337182448037,0.266129032258065,0.512429677357311,0.544601930410802,0.35619752383663,0.249054441260745,0.529140097524381,0.829,127,21,159,473,180,0.230769230769231,0.585253456221198,0.444055944055944,0.95748987854251,0.743589743589744,0.496402877697842,0.423141729624414,55.8080305276672,0.289989984655699
8,"0.5","rho0_SM",0.665945854864076,0.463337182448037,0.410392197986577,0.40618610518989,0.84811704074877,0.484285514736695,0.527236407406459,0.655670274425078,0.815,140,26,146,468,172,0.220512820512821,0.619469026548673,0.48951048951049,0.947368421052632,0.767295597484277,0.539249146757679,0.422049522931753,54.7452397544562,0.284467505594861
8,"0.75","rho0_1",0.926103707446473,0.729981378026071,0.854423292273236,0.919574873096447,0.926103707446473,0.729981378026071,0.854423292273236,0.919574873096447,0.827,135,31,151,463,182,0.233333333333333,0.597345132743363,0.472027972027972,0.937246963562753,0.767295597484277,0.505119453924915,0.421457787127264,54.4752664513784,0.283064668883428
8,"0.75","rho0_shift",0.445476936856247,0.403759767468197,0.403759767468197,0.445476936856247,0.470056435263821,0.386232842269942,0.386232842269942,0.470056435263821,0.821,126,35,160,459,195,0.25,0.563758389261745,0.440559440559441,0.92914979757085,0.693333333333333,0.498316498316498,0.423419709298311,57.3643921005403,0.298077158927374
8,"0.75","rho0_SM",0.695109780439122,0.570389953734303,0.658306308191233,0.415737511665602,0.742863564846033,0.635360857232903,0.942864816691287,0.806167502716198,0.828,143,30,143,464,173,0.221794871794872,0.623093681917211,0.5,0.939271255060729,0.804878048780488,0.522033898305085,0.420637863170154,53.7160304547037,0.279119522764777
